pref_label,uri,notation,description,alt_labels,in_schemes,broader,narrower
Incident Handling and Digital Forensics,http://data.jrc.ec.europa.eu/ontology/cybersecurity/incident_handling_digital_forensics,incident_handling_digital_forensics,"This domain refers to the theories, techniques, tools and processes for the identification, collection, acquisition and preservation of digital evidences",,http://data.jrc.ec.europa.eu/ontology/cybersecurity/cybersecurity-taxonomy; http://data.jrc.ec.europa.eu/ontology/cybersecurity/knowledge_domain,,http://data.jrc.ec.europa.eu/ontology/cybersecurity/anti-forensics_malware_analytics; http://data.jrc.ec.europa.eu/ontology/cybersecurity/citizen_cooperation_reporting; http://data.jrc.ec.europa.eu/ontology/cybersecurity/coordination_information_sharing_cross-border-organizational_incidents; http://data.jrc.ec.europa.eu/ontology/cybersecurity/digital-forensics_policy_issues; http://data.jrc.ec.europa.eu/ontology/cybersecurity/digital_forensic_processes_worklfow_models; http://data.jrc.ec.europa.eu/ontology/cybersecurity/digital_forensics_case_studies; http://data.jrc.ec.europa.eu/ontology/cybersecurity/incident-analysis_communication_documentation_forecasting_response_reporting; http://data.jrc.ec.europa.eu/ontology/cybersecurity/resilience_aspects; http://data.jrc.ec.europa.eu/ontology/cybersecurity/theories-techniques-tools_management_preservation_digital_evidence; http://data.jrc.ec.europa.eu/ontology/cybersecurity/vulnerability_analysis_response
"Incident analysis, communication, documentation, forecasting, response, and reporting",http://data.jrc.ec.europa.eu/ontology/cybersecurity/incident-analysis_communication_documentation_forecasting_response_reporting,incident-analysis_communication_documentation_forecasting_response_reporting,,,http://data.jrc.ec.europa.eu/ontology/cybersecurity/cybersecurity-taxonomy; http://data.jrc.ec.europa.eu/ontology/cybersecurity/knowledge_domain,http://data.jrc.ec.europa.eu/ontology/cybersecurity/incident_handling_digital_forensics,
Industrial IoT and Control Systems,http://data.jrc.ec.europa.eu/ontology/cybersecurity/industrial_iot_control_systems,industrial_iot_control_systems,,,http://data.jrc.ec.europa.eu/ontology/cybersecurity/cybersecurity-taxonomy; http://data.jrc.ec.europa.eu/ontology/cybersecurity/technology,,
"Information flow modelling and its application to confidentiality policies, composition of systems, and covert channel analysis",http://data.jrc.ec.europa.eu/ontology/cybersecurity/information_flow_modelling,information_flow_modelling,,,http://data.jrc.ec.europa.eu/ontology/cybersecurity/cybersecurity-taxonomy; http://data.jrc.ec.europa.eu/ontology/cybersecurity/knowledge_domain,http://data.jrc.ec.europa.eu/ontology/cybersecurity/theoretical_foundations,
Information systems,http://data.jrc.ec.europa.eu/ontology/cybersecurity/information_systems,information_systems,,,http://data.jrc.ec.europa.eu/ontology/cybersecurity/cybersecurity-taxonomy; http://data.jrc.ec.europa.eu/ontology/cybersecurity/technology,,
Intellectual property rights,http://data.jrc.ec.europa.eu/ontology/cybersecurity/intellectual_property_rights,intellectual_property_rights,,,http://data.jrc.ec.europa.eu/ontology/cybersecurity/cybersecurity-taxonomy; http://data.jrc.ec.europa.eu/ontology/cybersecurity/knowledge_domain,http://data.jrc.ec.europa.eu/ontology/cybersecurity/legal,
"Internet of Things, embedded systems, pervasive systems",http://data.jrc.ec.europa.eu/ontology/cybersecurity/iot_embedded_pervasive_systems,iot_embedded_pervasive_systems,,,http://data.jrc.ec.europa.eu/ontology/cybersecurity/cybersecurity-taxonomy; http://data.jrc.ec.europa.eu/ontology/cybersecurity/technology,,
Intrusion detection and honeypots,http://data.jrc.ec.europa.eu/ontology/cybersecurity/intrusion_detection_honeypots,intrusion_detection_honeypots,,,http://data.jrc.ec.europa.eu/ontology/cybersecurity/cybersecurity-taxonomy; http://data.jrc.ec.europa.eu/ontology/cybersecurity/knowledge_domain,http://data.jrc.ec.europa.eu/ontology/cybersecurity/software_hardware_security_engineering,
Investigations of computer crime (cybercrime) and security violations,http://data.jrc.ec.europa.eu/ontology/cybersecurity/investigations_computer_crime_security_violations,investigations_computer_crime_security_violations,,,http://data.jrc.ec.europa.eu/ontology/cybersecurity/cybersecurity-taxonomy; http://data.jrc.ec.europa.eu/ontology/cybersecurity/knowledge_domain,http://data.jrc.ec.europa.eu/ontology/cybersecurity/legal,
Legal and societal issues in information security,http://data.jrc.ec.europa.eu/ontology/cybersecurity/legal_societal_issues_information_security,legal_societal_issues_information_security,,,http://data.jrc.ec.europa.eu/ontology/cybersecurity/cybersecurity-taxonomy; http://data.jrc.ec.europa.eu/ontology/cybersecurity/knowledge_domain,http://data.jrc.ec.europa.eu/ontology/cybersecurity/legal,
Legal aspects,http://data.jrc.ec.europa.eu/ontology/cybersecurity/legal,legal,"This domain refers to the legal and ethical aspects related to the misuse of technology, illicit distribution and/or reproduction of material covered by IPR and the enforcement of law related to cybercrime and digital rights.",,http://data.jrc.ec.europa.eu/ontology/cybersecurity/cybersecurity-taxonomy; http://data.jrc.ec.europa.eu/ontology/cybersecurity/knowledge_domain,,http://data.jrc.ec.europa.eu/ontology/cybersecurity/cybercrime_prosecution_law_enforcement; http://data.jrc.ec.europa.eu/ontology/cybersecurity/cybersecurity_regulation_analysis_design; http://data.jrc.ec.europa.eu/ontology/cybersecurity/intellectual_property_rights; http://data.jrc.ec.europa.eu/ontology/cybersecurity/investigations_computer_crime_security_violations; http://data.jrc.ec.europa.eu/ontology/cybersecurity/legal_societal_issues_information_security
Legal aspects of identity management,http://data.jrc.ec.europa.eu/ontology/cybersecurity/identity-management_legal_aspects,identity-management_legal_aspects,,,http://data.jrc.ec.europa.eu/ontology/cybersecurity/cybersecurity-taxonomy; http://data.jrc.ec.europa.eu/ontology/cybersecurity/knowledge_domain,http://data.jrc.ec.europa.eu/ontology/cybersecurity/identity_management,
Local/wide area observation and surveillance,http://data.jrc.ec.europa.eu/ontology/cybersecurity/area_observation_surveillance,area_observation_surveillance,,,http://data.jrc.ec.europa.eu/ontology/cybersecurity/cybersecurity-taxonomy; http://data.jrc.ec.europa.eu/ontology/cybersecurity/use_case,,
Malware analysis including adversarial learning of malware,http://data.jrc.ec.europa.eu/ontology/cybersecurity/malware_analysis,malware_analysis,,,http://data.jrc.ec.europa.eu/ontology/cybersecurity/cybersecurity-taxonomy; http://data.jrc.ec.europa.eu/ontology/cybersecurity/knowledge_domain,http://data.jrc.ec.europa.eu/ontology/cybersecurity/software_hardware_security_engineering,
